artist_name,Frequência
Raekwon,2
Black Country,2
R.A.P. Ferreira,2
100 gecs,2
Candlemass,2
Tom Petty,2
Devendra Banhart,2
Editors,2
The B-52's,2
Caetano Veloso,2
Jeff Beck,2
Ground-Zero,2
Cat Stevens,2
Rich Brian,2
My Morning Jacket,2
The Raconteurs,2
The Libertines,2
Big Black,2
Quasimoto,2
Wild Nothing,2
Pete Rock & C.L. Smooth,2
Terry Riley,2
John Coltrane Quartet,2
Shabazz Palaces,2
FKA twigs,2
PUP,2
Cake,2
CunninLynguists,2
The Breeders,2
John Cale,2
Robert Wyatt,2
Run-D.M.C.,2
The Soft Machine,2
Porter Robinson,2
Digable Planets,2
Super Furry Animals,2
Westside Gunn,2
Misfits,2
Bark Psychosis,2
The Birthday Party,2
Death in June,2
Girls,2
Cynic,2
Dirty Three,2
The Pogues,2
Devin Townsend,2
Paysage d'Hiver,2
The Verve,2
The Dismemberment Plan,2
Meat Puppets,2
Phoebe Bridgers,2
Manowar,2
Holly Herndon,2
The Miles Davis Quintet,2
(Sandy) Alex G,2
Dirty Projectors,2
Windir,2
Suffocation,2
Cornelius,2
DJ Shadow,2
Ryuichi Sakamoto,2
J Dilla,2
Doja Cat,2
Television,2
Harold Budd,2
tricot,2
The Knife,2
Jenny Hval,2
Elvis Costello,2
Patti Smith Group,2
Iglooghost,2
Miles Davis Quintet,2
Armand Hammer,2
Jamiroquai,2
Lykke Li,2
Twenty Øne Piløts,2
Lucy Dacus,2
Dan Deacon,2
The Sisters of Mercy,2
Janis Joplin,2
Code Orange,2
Ben Frost,2
50 Cent,2
Ulcerate,2
Mayhem,2
Philip Glass,2
Regina Spektor,2
Sharon Van Etten,2
Underworld,2
Hop Along,2
Kevin Abstract,2
Teenage Fanclub,2
Sonny Sharrock,2
Justice,2
Pere Ubu,2
YG,2
Mutantes,2
cLOUDDEAD,2
Kelly Lee Owens,2
Eric Clapton,2
The Blue Nile,2
This Will Destroy You,2
Algiers,2
The Body,2
Ought,2
ZZ Top,2
Tenacious D,2
Billy Joel,2
Burial,2
Viagra Boys,2
toe,2
Warpaint,2
Lovesliescrushing,2
Alvvays,2
The Stone Roses,2
Kansas,2
Amy Winehouse,2
Janet Jackson,2
Paul Simon,2
Hole,2
Cloud Nothings,2
Kero Kero Bonito,2
Screaming Trees,2
W.A.S.P.,2
Spellling,2
Pain of Salvation,2
Leprous,2
Miley Cyrus,2
New Road,2
Fever Ray,2
Camera Obscura,2
Neutral Milk Hotel,2
Solange,2
Townes Van Zandt,2
Gil Scott-Heron,2
Codeine,2
Eyehategod,2
Freddie Gibbs,2
Róisín Murphy,2
Orbital,2
Milo,2
The Streets,2
Czarface & MF DOOM,2
The Garden,2
mewithoutYou,2
Forest Swords,2
The Sound,2
Exodus,2
Yves Tumor,2
Japandroids,2
Ryan Adams,2
This Heat,2
Aretha Franklin,2
Boldy James & The Alchemist,2
Silver Jews,2
Daniel Johnston,2
Tindersticks,2
Little Simz,2
